site,date,DO_top_mgL,DO_bot_mgL,fecal_col_top,fecal_col_bot,entero_top,enter_bot,secchi_ft,dry_wet
CIC2,12/20/2012,9.42,9.22,570,NA,104,NA,NA,NS
GC3,12/20/2012,6.1,4.81,3700,3200,2400,2200,NA,NS
GC4,12/20/2012,6.98,2.66,6000,3800,2600,2000,NA,NS
GC5,12/20/2012,6.58,5.89,2800,2500,600,2500,NA,NS
GC6,12/20/2012,9.68,6.92,2600,2200,480,1100,NA,NS
BB2,12/19/2012,10.68,NA,770,NA,54,NA,4,NS
BB4,12/19/2012,10.41,10.26,200,NA,8,NA,4,NS
CIC3,12/19/2012,8.42,9.15,360,NA,125,NA,4,NS
GB1,12/19/2012,9.44,9.29,99,NA,28,NA,2.5,NS
J1,12/19/2012,9.54,9.42,22,NA,4,NA,3.5,NS
J10,12/19/2012,10.01,9.65,8,NA,4,NA,4,NS
J11,12/19/2012,9.87,9.25,108,NA,16,NA,3.5,NS
J12,12/19/2012,10.38,10.21,87,NA,4,NA,4.5,NS
J2,12/19/2012,9.75,9.54,22,NA,4,NA,5,NS
J3,12/19/2012,9.73,10.23,17,NA,4,NA,4,NS
J5,12/19/2012,10.67,10.88,9,NA,2,NA,3,NS
J7,12/19/2012,10.2,10.13,92,NA,6,NA,4,NS
J8,12/19/2012,10.54,10.02,96,NA,4,NA,4,NS
J9A,12/19/2012,10.02,9.32,31,NA,16,NA,5,NS
N16,12/19/2012,NA,NA,NA,NA,NA,NA,NA,NS
N9,12/19/2012,10.21,9.39,32,NA,8,NA,3,NS
N9A,12/19/2012,9.22,9.39,21,NA,2,NA,3,NS
PB2,12/19/2012,9.98,10.11,45,NA,12,NA,3.5,NS
PB3,12/19/2012,10.1,NA,28,NA,2,NA,4,NS
SP2,12/19/2012,10.14,NA,53,NA,4,NA,4,NS
G2,12/18/2012,8.92,8.34,355,NA,132,NA,NA,NS
K1,12/18/2012,8.89,8.86,360,NA,148,NA,3,NS
K2,12/18/2012,8.92,9.03,390,NA,144,NA,3,NS
K3,12/18/2012,8.73,8.9,590,NA,760,NA,2.5,NS
K4,12/18/2012,9.12,9.02,116,NA,91,NA,2,NS
K5,12/18/2012,10.32,9.81,80,NA,24,NA,1.5,NS
K5A,12/18/2012,10.23,10.18,36,NA,18,NA,2,NS
K6,12/18/2012,9.26,9.12,19,NA,2,NA,3,NS
N6,12/18/2012,9.17,8.92,182,NA,60,NA,3,NS
N7,12/18/2012,9.1,8.92,68,NA,22,NA,3.5,NS
N8,12/18/2012,9.08,9.07,96,NA,42,NA,3.5,NS
NC0,12/18/2012,4.65,4.7,28000,3600,14900,2900,1,NS
NC1,12/18/2012,4.03,5.8,9300,3100,8500,2400,1.5,NS
NC2,12/18/2012,5.48,6.6,770,480,625,470,2.5,NS
NC3,12/18/2012,7.68,8.4,600,350,550,290,2,NS
AC1,12/17/2012,10.53,NA,3500,NA,600,NA,NA,NS
BR1,12/17/2012,11.24,NA,3100,NA,3300,NA,NA,NS
BR3,12/17/2012,8.04,NA,360,NA,470,NA,NA,NS
BR5,12/17/2012,9.46,NA,108,NA,46,NA,4,NS
E10,12/17/2012,9.39,9.41,5,NA,12,NA,4,NS
E11,12/17/2012,9.39,NA,20,NA,10,NA,4.5,NS
E14,12/17/2012,9.54,7.89,20,NA,10,NA,4,NS
E15,12/17/2012,9.15,9.13,520,NA,240,NA,4,NS
E2,12/17/2012,10.54,9.25,21,NA,8,NA,NA,NS
E4,12/17/2012,8.79,8.79,50,NA,30,NA,2.5,NS
E6,12/17/2012,9.07,9.54,22,NA,16,NA,4,NS
E7,12/17/2012,9.44,9.19,108,NA,80,NA,4,NS
E8,12/17/2012,9.34,9.81,13,NA,12,NA,5,NS
FB1,12/17/2012,9.17,9.43,92,NA,42,NA,4.5,NS
FLC1,12/17/2012,8.54,8.62,510,NA,210,NA,4,NS
FLC2,12/17/2012,9.26,9.04,200,NA,100,NA,4.5,NS
H3,12/17/2012,9.44,9.59,223,NA,60,NA,1.5,NS
HC1,12/17/2012,9.39,NA,10,NA,10,NA,NA,NS
HC2,12/17/2012,10.14,NA,9,NA,10,NA,NA,NS
LN1,12/17/2012,9.57,NA,105,NA,106,NA,3,NS
N1,12/17/2012,10.33,10.36,200,NA,64,NA,2,NS
N3B,12/17/2012,9.62,8.99,140,NA,72,NA,2.5,NS
N4,12/17/2012,9.27,9.05,164,NA,80,NA,2,NS
N5,12/17/2012,9.88,9.08,251,NA,168,NA,2,NS
SP1,12/17/2012,10.87,NA,250,NA,70,NA,NA,NS
CIC2,12/13/2012,6.23,NA,21000,NA,1000,NA,NA,NS
F5,12/13/2012,10.12,NA,40,NA,18,NA,NA,NS
GC3,12/13/2012,4.72,5.67,252,132,189,120,NA,NS
GC4,12/13/2012,5.31,5.9,312,180,280,290,NA,NS
GC5,12/13/2012,5.11,6.28,240,196,188,104,NA,NS
GC6,12/13/2012,5.63,6.9,224,124,56,52,NA,NS
J14,12/13/2012,11.04,NA,4,NA,2,NA,NA,NS
J16,12/13/2012,10.19,NA,4,NA,2,NA,NA,NS
BB2,12/12/2012,8.95,NA,21000,NA,870,NA,4,NS
BB4,12/12/2012,11.81,10.59,6600,NA,150,NA,5,NS
CIC3,12/12/2012,7.72,8.2,1900,NA,350,NA,4.5,NS
GB1,12/12/2012,8.69,9.09,72,NA,23,NA,4,NS
J1,12/12/2012,10.08,10.61,11,NA,3,NA,3.5,NS
J10,12/12/2012,11.5,11.47,54,NA,1,NA,4,NS
J11,12/12/2012,9.09,8.75,227,NA,22,NA,6,NS
J12,12/12/2012,12.05,10.08,15,NA,1,NA,5.5,NS
J2,12/12/2012,10.54,10.65,36,NA,3,NA,4,NS
J3,12/12/2012,10.23,11.32,176,NA,1,NA,5,NS
J5,12/12/2012,11.66,11.21,14,NA,1,NA,4,NS
J7,12/12/2012,10.64,10.22,220,NA,16,NA,5,NS
J8,12/12/2012,10.8,10.72,168,NA,4,NA,5,NS
J9A,12/12/2012,10.57,10.58,196,NA,22,NA,4,NS
N16,12/12/2012,9.37,9.5,11,NA,2,NA,3,NS
N9,12/12/2012,9.24,9.78,33,NA,5,NA,3,NS
N9A,12/12/2012,10,NA,9,NA,2,NA,3.5,NS
PB2,12/12/2012,15.11,NA,22,NA,3,NA,3,NS
PB3,12/12/2012,13.66,NA,72,NA,9,NA,4,NS
SP2,12/12/2012,10.39,NA,204,NA,4,NA,5,NS
G2,12/11/2012,8.87,8.2,45,NA,16,NA,2.5,NS
K1,12/11/2012,8.88,8.75,42,NA,12,NA,2,NS
K2,12/11/2012,8.9,8.81,44,NA,18,NA,2,NS
K3,12/11/2012,8.86,8.97,72,NA,28,NA,2.5,NS
K4,12/11/2012,8.66,8.56,84,NA,16,NA,3,NS
K5,12/11/2012,9.67,9.82,31,NA,28,NA,2.5,NS
K5A,12/11/2012,10.41,10.18,64,NA,26,NA,2.5,NS
K6,12/11/2012,10.99,10.85,8,NA,8,NA,2.5,NS
N6,12/11/2012,8.88,8.64,78,NA,32,NA,2,NS
N7,12/11/2012,9.03,8.66,50,NA,28,NA,3,NS
N8,12/11/2012,8.89,8.78,40,NA,20,NA,2.5,NS
NC0,12/11/2012,5.45,5.7,300,550,460,380,4,NS
NC1,12/11/2012,6.16,6.36,600,270,240,130,4.5,NS
NC2,12/11/2012,6.48,6.68,460,250,340,180,5.5,NS
NC3,12/11/2012,7.51,7.56,730,380,250,190,4.5,NS
AC1,12/10/2012,8.71,NA,2500,NA,2000,NA,NA,NS
BR1,12/10/2012,9.65,NA,3000,NA,4700,NA,NA,NS
BR5,12/10/2012,NA,NA,NA,NA,NA,NA,NA,NS
E10,12/10/2012,9.63,9.24,1,NA,2,NA,7,NS
E11,12/10/2012,9.63,NA,14,NA,6,NA,5.5,NS
