Station,Lat,Long
AC1,40.763172,-73.751750
AC2,40.761904,-73.751008
BB2,40.660040,-73.822160
BB4,40.651640,-73.823160
BR1,40.893142,-73.862714
BR3,40.825367,-73.884803
BR5,40.813667,-73.871333
CIC2,40.581667,-73.985642
CIC3,40.580333,-73.994167
E10,40.843667,-73.765333
E11,40.787500,-73.763333
E12,40.854440,-73.809400
E13,40.806111,-73.841113
E14,40.800833,-73.864500
E15,40.763000,-73.849500
E2,40.735333,-73.970000
E4,40.782500,-73.922000
E6,40.785500,-73.860833
E7,40.805000,-73.820500
E8,40.800500,-73.783667
EJ1,40.591780,-73.804650
EJ2,40.593409,-73.808405
EJ3,40.593906,-73.803481
EJ4,40.596073,-73.805455
EJ5,40.596709,-73.790274
EJ6,40.604358,-73.785446
EJ7,40.598802,-73.779974
EJ8,40.599356,-73.772507
EJ9,40.610760,-73.775468
F1,40.643147,-73.884133
F5,40.638775,-73.878964
FB1,40.772042,-73.853058
FLC1,40.762167,-73.836667
FLC2,40.765000,-73.842833
G2,40.666667,-74.003333
GB1,40.600000,-74.013667
GC3,40.679429,-73.988236
GC4,40.678034,-73.989073
GC5,40.676141,-73.990053
GC6,40.674167,-73.996389
H3,40.828000,-73.933833
HC1,40.653589,-73.878914
HC2,40.650775,-73.876836
HC3,40.646716,-73.873563
HR03,40.880870,-73.820870
HR1,40.868700,-73.821300
HR2,40.887911,-73.824031
J1,40.573333,-73.884667
J10,40.621667,-73.894721
J11,40.581667,-73.931333
J12,40.633000,-73.806333
J14,40.609169,-73.823778
J16,40.611425,-73.847613
J2,40.608054,-73.885835
J3,40.627000,-73.882833
J5,40.597667,-73.809000
J7,40.645333,-73.820833
J8,40.642833,-73.851167
J9A,40.633833,-73.873667
JA1,40.643000,-73.813000
K1,40.651112,-74.081945
K2,40.641167,-74.153000
K3,40.637500,-74.195833
K4,40.567000,-74.211667
K5,40.508833,-74.258833
K5A,40.484500,-74.245833
K6,40.510333,-74.100833
LN1,40.778000,-73.760833
N1,40.914500,-73.916167
N16,40.529667,-73.943667
N3B,40.820833,-73.965333
N4,40.764500,-74.005833
N5,40.704500,-74.030000
N6,40.664667,-74.051333
N7,40.643833,-74.053833
N8,40.606167,-74.045500
N9,40.568333,-73.983333
N9A,40.567833,-73.935500
NC0,40.714961,-73.931556
NC1,40.724545,-73.927040
NC2,40.728833,-73.935500
NC3,40.737167,-73.946167
NR1,40.826333,-73.958160
PB2,40.628000,-73.909667
PB3,40.623417,-73.899833
SP1,40.655069,-73.860294
SP2,40.644500,-73.854167
TB1,40.64233,-73.747333
TB2,40.642333,-73.73333
WC1,40.827750,-73.842278
WC2,40.838875,-73.839844
WC3,40.815067,-73.843187
